Type,Posting Date,Document Date,Reference,Expense G/L,Cost Center,Fund,Fund Area,Expense Amount,Expense Text,Employee No,Reimburse Amt,Reimburse Text,Assignment,Profit Center,Due Date,Business Area,Commitment Item,VAT G/L,TAX CODE,TAX RATE,TAX DATE,VAT BASE,VAT AMOUNT
2,18.12.2025,18.12.2025,68M0011,6010100110,10000,R1491,11022002,33000.00,ค่าเบี้ยประชุมคณะกรรมการ กยท.,1800003,33000.00,ค่าเบี้ยประชุมคณะกรรมการ กยท.,68W0007,,,1491,6010100110,,,,,,
2,18.12.2025,18.12.2025,68M0011,6010100110,10000,R1491,11022002,30000.00,ค่าเบี้ยประชุมคณะกรรมการ กยท.,1800001,30000.00,ค่าเบี้ยประชุมคณะกรรมการ กยท.,68W0007,,,1491,6010100110,,,,,,
2,18.12.2025,18.12.2025,68M0011,6010100110,10000,R1491,11022002,30000.00,ค่าเบี้ยประชุมคณะกรรมการ กยท.,1800002,30000.00,ค่าเบี้ยประชุมคณะกรรมการ กยท.,68W0007,,,1491,6010100110,,,,,,
2,18.12.2025,18.12.2025,68M0008,5011400030,10000,R1491,11001001,40000.00,ค่ารับรอง,EH10000U,40000.00,ค่ารับรอง,68W0009,,,1491,5011400030,,,,,,
2,18.12.2025,18.12.2025,68M0009,6011000020,10000,R1491,11001001,227500.00,6011000020 - ค่าวัสดุสำนักงาน,EH10000U,227500.00,6011000020 - ค่าวัสดุสำนักงาน,68W0010,,,1491,6011000020,,,,,,
2,18.12.2025,18.12.2025,68M0010,5011400260,10000,R1494,14006001,2000.00,ค่าเงินรางวัล,EH10000U,2000.00,ค่าเงินรางวัล,68W0008,,,1494,5011400260,,,,,,
2,18.12.2025,18.12.2025,68M0012,5011400080,10000,R1494,14009006,496140.00,ค่าใช้จ่ายในการฝึกอบรม,EH10000U,496140.00,ค่าใช้จ่ายในการฝึกอบรม,68W0011,,,1494,5011400080,,,,,,
2,18.12.2025,18.12.2025,68T0012,5010400010,10000,R1494,14009006,360.00,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,EH10000U,360.00,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,68W0011,,,1494,5010400010,,,,,,
2,18.12.2025,18.12.2025,68T0012,5010400030,10000,R1494,14009006,1000.00,ค่าที่พักในการเดินทางในประเทศ,EH10000U,1000.00,ค่าที่พักในการเดินทางในประเทศ,68W0011,,,1494,5010400030,,,,,,
2,18.12.2025,18.12.2025,68T0012,5010400020,10000,R1494,14009006,500.00,ค่าพาหนะในการเดินทางในประเทศ,EH10000U,500.00,ค่าพาหนะในการเดินทางในประเทศ,68W0011,,,1494,5010400020,,,,,,
2,18.12.2025,18.12.2025,68T0010,5010400010,10000,R1491,11001001,360.00,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,EH10000U,360.00,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,68W0006,,,1491,5010400010,,,,,,
2,18.12.2025,18.12.2025,68T0010,5010400030,10000,R1491,11001001,1600.00,ค่าที่พักในการเดินทางในประเทศ,EH10000U,1600.00,ค่าที่พักในการเดินทางในประเทศ,68W0006,,,1491,5010400030,,,,,,
2,18.12.2025,18.12.2025,68T0010,5010400020,10000,R1491,11001001,3000.00,ค่าพาหนะในการเดินทางในประเทศ,EH10000U,3000.00,ค่าพาหนะในการเดินทางในประเทศ,68W0006,,,1491,5010400020,,,,,,
2,18.12.2025,18.12.2025,68T0009,5010400010,10000,R1491,11001001,1140,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,EH10000U,1140,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,68W0005,,,1491,5010400010,,,,,,
2,18.12.2025,18.12.2025,68T0009,5010400030,10000,R1491,11001001,2600,ค่าที่พักในการเดินทางในประเทศ,EH10000U,2600,ค่าที่พักในการเดินทางในประเทศ,68W0005,,,1491,5010400030,,,,,,
2,18.12.2025,18.12.2025,68T0009,5010400020,10000,R1491,11001001,60000,ค่าพาหนะในการเดินทางในประเทศ,EH10000U,60000,ค่าพาหนะในการเดินทางในประเทศ,68W0005,,,1491,5010400020,,,,,,
2,18.12.2025,18.12.2025,68T0010,5010400040,10000,R1491,11001001,2100,ค่าเบี้ยเลี้ยงในการเดินทางไปศึกษาดูงานต่างประเทศ,EH10000U,2100,ค่าเบี้ยเลี้ยงในการเดินทางไปศึกษาดูงานต่างประเทศ,68W0006,,,1491,5010400040,,,,,,
2,18.12.2025,18.12.2025,68T0010,5010400060,10000,R1491,11001001,2500,ค่าที่พักในการเดินทางไปศึกษาดูงานต่างประเทศ,EH10000U,2500,ค่าที่พักในการเดินทางไปศึกษาดูงานต่างประเทศ,68W0006,,,1491,5010400060,,,,,,
2,18.12.2025,18.12.2025,68T0010,5010400050,10000,R1491,11001001,60000,ค่าพาหนะในการเดินทางไปศึกษาดูงานต่างประเทศ,EH10000U,60000,ค่าพาหนะในการเดินทางไปศึกษาดูงานต่างประเทศ,68W0006,,,1491,5010400050,,,,,,
2,18.12.2025,18.12.2025,68T0011,5010400080,10000,R1491,11001001,300.00,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,EH10000U,300.00,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,68W0006,,,1491,5010400080,,,,,,
2,18.12.2025,18.12.2025,68T0011,5010400100,10000,R1491,11001001,1000.00,ค่าที่พักในการเดินทางในประเทศ,EH10000U,1000.00,ค่าที่พักในการเดินทางในประเทศ,68W0006,,,1491,5010400100,,,,,,
2,18.12.2025,18.12.2025,68T0011,5010400090,10000,R1491,11001001,2500.00,ค่าพาหนะในการเดินทางในประเทศ,EH10000U,2500.00,ค่าพาหนะในการเดินทางในประเทศ,68W0006,,,1491,5010400090,,,,,,
2,18.12.2025,18.12.2025,68T0011,5010400110,10000,R1491,11001001,1600,ค่าเบี้ยเลี้ยงในการเดินทางไปศึกษาดูงานต่างประเทศ,EH10000U,1600,ค่าเบี้ยเลี้ยงในการเดินทางไปศึกษาดูงานต่างประเทศ,68W0006,,,1491,5010400110,,,,,,
2,18.12.2025,18.12.2025,68T0011,5010400130,10000,R1491,11001001,2000,ค่าที่พักในการเดินทางไปศึกษาดูงานต่างประเทศ,EH10000U,2000,ค่าที่พักในการเดินทางไปศึกษาดูงานต่างประเทศ,68W0006,,,1491,5010400130,,,,,,
2,18.12.2025,18.12.2025,68T0011,5010400120,10000,R1491,11001001,25000,ค่าพาหนะในการเดินทางไปศึกษาดูงานต่างประเทศ,EH10000U,25000,ค่าพาหนะในการเดินทางไปศึกษาดูงานต่างประเทศ,68W0006,,,1491,5010400120,,,,,,
