Type,Posting Date,Document Date,Reference,Expense G/L,Cost Center,Fund,Fund Area,Expense Amount,Expense Text,Employee No,Reimburse Amt,Reimburse Text,Assignment,Profit Center,Due Date,Business Area,Commitment Item,VAT G/L,TAX CODE,TAX RATE,TAX DATE,VAT BASE,VAT AMOUNT
2,20.03.2026,20.03.2026,69M0015,5011400080,10000,R1494,14007003,10000.00,ค่าใช้จ่ายในการฝึกอบรม,EH10001U,10000.00,ใบสั่งจ่าย,69W0040,,,1494,5011400080,,,,,,
2,20.03.2026,20.03.2026,69M0016,5011400080,10000,R1492,12005005,4500.00,ค่าใช้จ่ายในการฝึกอบรม,EH10001U,7000.00,ใบสั่งจ่าย,,,,1492,5011400080,,,,,,
2,20.03.2026,20.03.2026,69M0016,5011400260,10000,R1492,12005005,1000.00,ค่าเงินรางวัล,EH10001U,,ใบสั่งจ่าย,,,,1492,5011400260,,,,,,
2,20.03.2026,20.03.2026,69M0016,5011400220,10000,R1492,12005005,1500.00,ค่าจัดทำเอกสาร,EH10001U,,ใบสั่งจ่าย,,,,1492,5011400220,,,,,,
2,24.03.2026,20.03.2026,69T0043,5010400010,10000,R1494,14007003,4500.00,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,EH10001U,16800.00,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน,69W0040,,,1494,5010400010,,,,,,
2,24.03.2026,20.03.2026,69T0043,5010400030,10000,R1494,14007003,3000.00,ค่าที่พักในการเดินทางในประเทศ,EH10001U,,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน,69W0040,,,1494,5010400030,,,,,,
2,24.03.2026,20.03.2026,69T0043,5010400020,10000,R1494,14007003,7500.00,ค่าพาหนะในการเดินทางในประเทศ,EH10001U,,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน,69W0040,,,1494,5010400020,,,,,,
2,24.03.2026,20.03.2026,69T0043,5011400060,10000,R1494,14007003,1800.00,ค่าอาหารระหว่างการฝึกอบรม,EH10001U,,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน,69W0040,,,1494,5011400060,,,,,,
2,24.03.2026,20.03.2026,69T0044,5010400080,10000,R1494,14007003,10800.00,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,EH10001U,32700.00,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน (บุคคลภายนอก),69W0040,,,1494,5010400080,,,,,,
2,24.03.2026,20.03.2026,69T0044,5010400100,10000,R1494,14007003,9000.00,ค่าที่พักในการเดินทางในประเทศ,EH10001U,,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน (บุคคลภายนอก),69W0040,,,1494,5010400100,,,,,,
2,24.03.2026,20.03.2026,69T0044,5010400090,10000,R1494,14007003,7500.00,ค่าพาหนะในการเดินทางในประเทศ,EH10001U,,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน (บุคคลภายนอก),69W0040,,,1494,5010400090,,,,,,
2,24.03.2026,20.03.2026,69T0044,5011400060,10000,R1494,14007003,5400.00,ค่าอาหารระหว่างการฝึกอบรม,EH10001U,,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน (บุคคลภายนอก),69W0040,,,1494,5011400060,,,,,,
