Type,Posting Date,Document Date,Reference,Expense G/L,Cost Center,Fund,Fund Area,Expense Amount,Expense Text,Employee No,Reimburse Amt,Reimburse Text,Assignment,Profit Center,Due Date,Business Area,Commitment Item,VAT G/L,TAX CODE,TAX RATE,TAX DATE,VAT BASE,VAT AMOUNT
2,08.04.2026,08.04.2026,69M0017,5011400100,10100,R1491,11001001,1000.00,ค่าจ้างที่ปรึกษา,10100U1,1000.00,ใบสั่งจ่าย,69W0055,,,1491,5011400100,,,,,,
2,08.04.2026,08.04.2026,69M0018,5011400300,10500,R1492,12005002,500.00,ค่าพาหนะวิทยากร,10500U1,500.00,ใบสั่งจ่าย,69W0058,,,1492,5011400300,,,,,,
2,08.04.2026,08.04.2026,69M0019,6010100100,19200,R1492,12005002,500.00,ค่าล่วงเวลา,19200U1,500.00,ใบสั่งจ่าย,69W0059,,,1492,6010100100,,,,,,
2,08.04.2026,08.04.2026,69T0055,5010400010,10100,R1491,11001001,1500.00,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,10100U1,2000.00,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน,69W0055,,,1491,5010400010,,,,,,
2,08.04.2026,08.04.2026,69T0056,5010400010,10500,R1492,12005002,1200.00,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,10500U1,2800.00,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน,69W0058,,,1492,5010400010,,,,,,
2,08.04.2026,08.04.2026,69T0055,5010400020,10100,R1491,11001001,500.00,ค่าพาหนะในการเดินทางในประเทศ,10100U1,,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน,69W0055,,,1491,5010400020,,,,,,
2,08.04.2026,08.04.2026,69T0056,5010400020,10500,R1492,12005002,1500.00,ค่าพาหนะในการเดินทางในประเทศ,10500U1,,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน,69W0058,,,1492,5010400020,,,,,,
2,08.04.2026,08.04.2026,69T0056,5011400060,10500,R1492,12005002,100.00,ค่าอาหารระหว่างการฝึกอบรม,10500U1,,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน,69W0058,,,1492,5011400060,,,,,,
2,08.04.2026,08.04.2026,69T0057,5010400010,19200,R1492,12005002,4800.00,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,19200U1,8800.00,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน,69W0059,,,1492,5010400010,,,,,,
2,08.04.2026,08.04.2026,69T0057,5010400030,19200,R1492,12005002,2000.00,ค่าที่พักในการเดินทางในประเทศ,19200U1,,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน,69W0059,,,1492,5010400030,,,,,,
2,08.04.2026,08.04.2026,69T0057,5010400020,19200,R1492,12005002,2000.00,ค่าพาหนะในการเดินทางในประเทศ,19200U1,,ค่าใช้จ่ายในการเดินทางไปปฎิบัติงาน,69W0059,,,1492,5010400020,,,,,,
