TYPE,Posting Date,Document Date,Reference,Expense G/L,Cost Center,Fund,Fund Area,Expense Amount,Expense Text,Employee No,Reimburse Amt,Reimburse Text,Assignment,Profit Center,Due Date,Business Area,Commitment,VAT G/L,TAX CODE,TAX RATE,TAX DATE,VAT BASE,VAT AMOUNT
1,09.12.2025,06.12.2025,68W0002,,,,,,,EH10000U,100000.00,เบิกเงินยืมทดรอง,68W0002,10000,11.12.2025,1491,,,,,,,
1,04.12.2025,04.12.2025,68W0001,,,,,,,EH10000U,35000.00,เบิกเงินยืมทดรอง,68W0001,10000,04.12.2025,1491,,,,,,,
1,18.12.2025,18.12.2025,68W0005,,,,,,,EH10000U,63260.00,เบิกเงินยืมทดรอง,68W0005,10000,18.12.2025,1491,,,,,,,
1,18.12.2025,18.12.2025,68W0007,,,,,,,EH10000U,205000.00,เบิกเงินยืมทดรอง,68W0007,10000,18.12.2025,1491,,,,,,,
1,18.12.2025,18.12.2025,68W0006,,,,,,,EH10000U,111960.00,เบิกเงินยืมทดรอง,68W0006,10000,18.12.2025,1491,,,,,,,
1,21.01.2026,23.01.2026,69W0012,,,,,,,EH10001U,1.00,เบิกเงินยืมทดรอง,69W0012,10000,21.01.2026,1492,,,,,,,
1,20.01.2026,20.01.2026,69W0005,,,,,,,EH10000U,20000.00,เบิกเงินยืมทดรอง,69W0005,10000,20.01.2026,1491,,,,,,,
1,21.01.2026,21.01.2026,69W0009,,,,,,,EH10001U,21000.00,เบิกเงินยืมทดรอง,69W0009,10000,21.01.2026,1491,,,,,,,
1,21.01.2026,21.01.2026,69W0010,,,,,,,EH10001U,3001.00,เบิกเงินยืมทดรอง,69W0010,10000,21.01.2026,1491,,,,,,,
1,23.01.2026,23.01.2026,69W0013,,,,,,,EH10001U,11000.00,เบิกเงินยืมทดรอง,69W0013,10000,23.01.2026,1491,,,,,,,
1,23.01.2026,23.01.2026,69W0014,,,,,,,EH10001U,55200.00,เบิกเงินยืมทดรอง,69W0014,10000,23.01.2026,1491,,,,,,,
1,09.12.2025,12.12.2025,68W0004,,,,,,,EH10000U,20000.00,เบิกเงินยืมทดรอง,68W0004,10000,09.12.2025,1494,,,,,,,
1,18.12.2025,18.12.2025,68W0008,,,,,,,EH10000U,2000.00,เบิกเงินยืมทดรอง,68W0008,10000,18.12.2025,1494,,,,,,,
1,18.12.2025,18.12.2025,68W0009,,,,,,,EH10000U,40000.00,เบิกเงินยืมทดรอง,68W0009,10000,18.12.2025,1491,,,,,,,
1,18.12.2025,18.12.2025,68W0010,,,,,,,EH10000U,230000.00,เบิกเงินยืมทดรอง,68W0010,10000,18.12.2025,1491,,,,,,,
1,18.12.2025,18.12.2025,68W0011,,,,,,,EH10000U,498000.00,เบิกเงินยืมทดรอง,68W0011,10000,18.12.2025,1494,,,,,,,
1,29.12.2025,29.12.2025,68W0013,,,,,,,EH10000U,6000.00,เบิกเงินยืมทดรอง,68W0013,10000,29.12.2025,1491,,,,,,,
1,20.01.2026,20.01.2026,69W0003,,,,,,,EH10001U,11000.00,เบิกเงินยืมทดรอง,69W0003,10000,20.01.2026,1491,,,,,,,
1,20.01.2026,20.01.2026,69W0004,,,,,,,EH10001U,140000.00,เบิกเงินยืมทดรอง,69W0004,10000,20.01.2026,1492,,,,,,,
1,21.01.2026,21.01.2026,69W0007,,,,,,,EH10001U,5400.00,เบิกเงินยืมทดรอง,69W0007,10000,21.01.2026,1491,,,,,,,
1,21.01.2026,21.01.2026,69W0008,,,,,,,EH10001U,9300.00,เบิกเงินยืมทดรอง,69W0008,10000,21.01.2026,1491,,,,,,,
1,23.01.2026,23.01.2026,69W0016,,,,,,,EH10001U,3500.00,เบิกเงินยืมทดรอง,69W0016,10000,23.01.2026,1494,,,,,,,
1,23.01.2026,23.01.2026,69W0015,,,,,,,EH10001U,67000.00,เบิกเงินยืมทดรอง,69W0015,10000,23.01.2026,1491,,,,,,,
