Type,Posting Date,Document Date,Reference,Expense G/L,Cost Center,Fund,Fund Area,Expense Amount,Expense Text,Employee No,Reimburse Amt,Reimburse Text,Assignment,Profit Center,Due Date,Business Area,Commitment Item,VAT G/L,TAX CODE,TAX RATE,TAX DATE,VAT BASE,VAT AMOUNT
2,18.12.2025,18.12.2025,68M0011,6010100110,10000,R1491,11022002,33000.00,ค่าเบี้ยประชุมคณะกรรมการ กยท.,1800003,33000.00,ค่าเบี้ยประชุมคณะกรรมการ กยท.,68W0007,,,1491,6010100110,,,,,,
2,18.12.2025,18.12.2025,68M0011,6010100110,10000,R1491,11022002,30000.00,ค่าเบี้ยประชุมคณะกรรมการ กยท.,1800001,30000.00,ค่าเบี้ยประชุมคณะกรรมการ กยท.,68W0007,,,1491,6010100110,,,,,,
2,18.12.2025,18.12.2025,68M0011,6010100110,10000,R1491,11022002,30000.00,ค่าเบี้ยประชุมคณะกรรมการ กยท.,1800002,30000.00,ค่าเบี้ยประชุมคณะกรรมการ กยท.,68W0007,,,1491,6010100110,,,,,,
2,18.12.2025,18.12.2025,68M0008,5011400030,10000,R1491,11001001,40000.00,ค่ารับรอง,EH10000U,40000.00,ค่ารับรอง,68W0009,,,1491,5011400030,,,,,,
2,18.12.2025,18.12.2025,68M0009,6011000020,10000,R1491,11001001,227500.00,6011000020 - ค่าวัสดุสำนักงาน,EH10000U,227500.00,6011000020 - ค่าวัสดุสำนักงาน,68W0010,,,1491,6011000020,,,,,,
2,04.12.2025,06.12.2025,68M0001,5011400070,10000,R1491,11002001,500.00,ค่าตอบแทนวิทยากร,EH10000U,500.00,ค่าตอบแทนวิทยากร,68W0001,,,1491,5011400070,,,,,,
2,06.12.2025,06.12.2025,68M0002,5010900010,10000,R1491,11033003,3000.00,ค่าไฟฟ้า,EH10000U,3000.00,ค่าไฟฟ้า,68W0002,,,1491,5010900010,,,,,,
2,18.12.2025,18.12.2025,68M0010,5011400260,10000,R1494,14006001,2000.00,ค่าเงินรางวัล,EH10000U,2000.00,ค่าเงินรางวัล,68W0008,,,1494,5011400260,,,,,,
2,18.12.2025,18.12.2025,68M0012,5011400080,10000,R1494,14009006,496140.00,ค่าใช้จ่ายในการฝึกอบรม,EH10000U,496140.00,ค่าใช้จ่ายในการฝึกอบรม,68W0011,,,1494,5011400080,,,,,,
2,12.12.2025,12.12.2025,68M0004,5011400110,10000,R1494,14021001,5500000.00,ค่าเบี้ยประชุมคณะกรรมการตรวจสอบรัฐวิสาหกิจ,EH10000U,5500000.00,ค่าเบี้ยประชุมคณะกรรมการตรวจสอบรัฐวิสาหกิจ,,,,1494,5011400110,,,,,,
2,12.12.2025,12.12.2025,68M0004,5011400120,10000,R1494,14021001,4200000.00,ค่าเบี้ยประชุมคณะกรรมการอื่น ๆ,EH10000U,4200000.00,ค่าเบี้ยประชุมคณะกรรมการอื่น ๆ,,,,1494,5011400120,,,,,,
2,12.12.2025,12.12.2025,68M0004,5011400110,10000,R1494,14021001,7800000.00,ค่าเบี้ยประชุมคณะกรรมการตรวจสอบรัฐวิสาหกิจ,EH10000U,7800000.00,ค่าเบี้ยประชุมคณะกรรมการตรวจสอบรัฐวิสาหกิจ,,,,1494,5011400110,,,,,,
2,17.12.2025,18.12.2025,68M0007,6010100110,10000,R1494,14021001,100000.00,ค่าเบี้ยประชุมคณะกรรมการ กยท.,EH10000U,100000.00,ค่าเบี้ยประชุมคณะกรรมการ กยท.,,,,1494,6010100110,,,,,,
2,17.12.2025,18.12.2025,68M0007,6010100110,10000,R1494,14021001,-1000.00,ค่าเบี้ยประชุมคณะกรรมการ กยท.,EH10000U,-1000.00,ค่าเบี้ยประชุมคณะกรรมการ กยท.,,,,1494,6010100110,,,,,,
2,18.12.2025,18.12.2025,68M0013,6011400080,10000,R1494,14009006,58000.00,ค่าใช้จ่ายในการฝึกอบรม,EH10000U,58000.00,ค่าใช้จ่ายในการฝึกอบรม,,,,1494,6011400080,,,,,,
2,18.12.2025,18.12.2025,68M0014,6011000020,10000,R1491,11001001,30000.00,6011000020 - ค่าวัสดุสำนักงาน,EH10000U,30000.00,6011000020 - ค่าวัสดุสำนักงาน,,,,1491,6011000020,,,,,,
2,18.12.2025,18.12.2025,68M0015,5011400030,10000,R1491,11001001,54000.00,ค่ารับรอง,EH10000U,54000.00,ค่ารับรอง,,,,1491,5011400030,,,,,,
2,18.12.2025,18.12.2025,68M0016,5011400260,10000,R1494,14006001,750000.00,ค่าเงินรางวัล,EH10000U,750000.00,ค่าเงินรางวัล,,,,1494,5011400260,,,,,,
2,18.12.2025,18.12.2025,68M0017,5011400150,10000,R1491,11001001,2217600.00,ค่าตอบแทนเจ้าหน้าที่,EH10000U,2217600.00,ค่าตอบแทนเจ้าหน้าที่,,,,1491,5011400150,,,,,,
2,18.12.2025,18.12.2025,68M0018,5011400210,10000,R1491,11001001,5000.00,ค่าอากรแสตมป์,EH10000U,5000.00,ค่าอากรแสตมป์,,,,1491,5011400210,,,,,,
2,18.12.2025,18.12.2025,68T0012,5010400010,10000,R1494,14009006,360.00,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,EH10000U,360.00,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,68W0011,,,1494,5010400010,,,,,,
2,09.12.2025,18.12.2025,68T0006,5010400010,10000,R1494,14006001,500.00,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,EH10000U,500.00,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,68W0004,,,1494,5010400010,,,,,,
2,18.12.2025,18.12.2025,68T0012,5010400030,10000,R1494,14009006,1000.00,ค่าที่พักในการเดินทางในประเทศ,EH10000U,1000.00,ค่าที่พักในการเดินทางในประเทศ,68W0011,,,1494,5010400030,,,,,,
2,18.12.2025,18.12.2025,68T0012,5010400020,10000,R1494,14009006,500.00,ค่าพาหนะในการเดินทางในประเทศ,EH10000U,500.00,ค่าพาหนะในการเดินทางในประเทศ,68W0011,,,1494,5010400020,,,,,,
2,09.12.2025,18.12.2025,68T0006,5010300070,10000,R1494,14006001,412.50,เงินชดเชย,EH10000U,412.50,เงินชดเชย,68W0004,,,1494,5010300070,,,,,,
2,04.12.2025,04.12.2025,68T0002,5010400080,10000,R1491,11002001,10000.00,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,EH10000U,10000.00,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,68W0001,,,1491,5010400080,,,,,,
2,04.12.2025,04.12.2025,68T0002,5010400100,10000,R1491,11002001,252500.00,ค่าที่พักในการเดินทางในประเทศ,EH10000U,252500.00,ค่าที่พักในการเดินทางในประเทศ,68W0001,,,1491,5010400100,,,,,,
2,20.01.2026,20.01.2026,69T0008,5010400110,10000,R1492,12005002,2400.00,ค่าเบี้ยเลี้ยงในการเดินทางต่างประเทศ,EH10001U,2400.00,ค่าเบี้ยเลี้ยงในการเดินทางต่างประเทศ,69W0004,,,1492,5010400110,,,,,,
2,20.01.2026,20.01.2026,69T0008,5010400130,10000,R1492,12005002,7000.00,ค่าที่พักในการเดินทางไปศึกษาดูงานต่างประเทศ,EH10001U,7000.00,ค่าที่พักในการเดินทางไปศึกษาดูงานต่างประเทศ,69W0004,,,1492,5010400130,,,,,,
2,20.01.2026,20.01.2026,69T0008,5011400060,10000,R1492,12005002,6000.00,ค่าอาหารระหว่างการฝึกอบรม,EH10001U,6000.00,ค่าอาหารระหว่างการฝึกอบรม,69W0004,,,1492,5011400060,,,,,,
2,06.12.2025,06.12.2025,68T0004,5010400010,10000,R1491,11033003,3500,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,EH10000U,3500,ค่าเบี้ยเลี้ยงในการเดินทางในประเทศ,68W0002,,,1491,5010400010,,,,,,
2,06.12.2025,06.12.2025,68T0004,5010400030,10000,R1491,11033003,2000,ค่าที่พักในการเดินทางในประเทศ,EH10000U,2000,ค่าที่พักในการเดินทางในประเทศ,68W0002,,,1491,5010400030,,,,,,
2,06.12.2025,06.12.2025,68T0004,5010400020,10000,R1491,11033003,1000,ค่าพาหนะในการเดินทางในประเทศ,EH10000U,1000,ค่าพาหนะในการเดินทางในประเทศ,68W0002,,,1491,5010400020,,,,,,
2,06.12.2025,06.12.2025,68T0004,5011400060,10000,R1491,11033003,1200,ค่าอาหารระหว่างการฝึกอบรม,EH10000U,1200,ค่าอาหารระหว่างการฝึกอบรม,68W0002,,,1491,5011400060,,,,,,
